,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_degree,final_degree,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda
random_forest_1,0.9006211180124224,0.9027942680116594,0.9006211180124224,0.899948014796251,0.9737846358055418,339,241,46,18,0.8695652173913043,0.8700524737631183,0.8695652173913043,0.8690635451505015,0.9008913412563667,69,51,11,7,0.8043478260869565,0.8092522366267847,0.8043478260869565,0.8014266931358687,0.8900679117147707,68,43,19,8,,,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,
random_forest_2,0.8726708074534162,0.8746988599628339,0.8726708074534162,0.871727013035228,0.9495798319327731,331,231,56,26,0.855072463768116,0.855422288855572,0.855072463768116,0.8545150501672242,0.8985568760611206,68,50,12,8,0.7971014492753623,0.8029512516469038,0.7971014492753623,0.793655001767409,0.8769100169779288,68,42,20,8,,,,,,,,,,,,,,,300.0,5.0,5.0,5.0,sqrt,,300.0,5.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
random_forest_3,0.9208074534161491,0.9215451617625532,0.9208074534161491,0.9205197931283616,0.9828419172547067,340,253,34,17,0.8768115942028986,0.876708228810866,0.8768115942028986,0.8767134048152075,0.9008913412563666,68,53,9,8,0.8043478260869565,0.8092522366267847,0.8043478260869565,0.8014266931358687,0.8885823429541596,68,43,19,8,,,,,,,,,,,,,,,300.0,9.0,5.0,5.0,sqrt,,300.0,9.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
random_forest_4,0.9021739130434783,0.9038301305164531,0.9021739130434783,0.9016012468931354,0.975609756097561,338,243,44,19,0.8623188405797102,0.8632369974856626,0.8623188405797102,0.8616187543973558,0.9017402376910016,69,50,12,7,0.8043478260869565,0.8120594598366948,0.8043478260869565,0.8005982266851832,0.8904923599320883,69,42,20,7,,,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,entropy,300.0,7.0,5.0,5.0,sqrt,entropy,,,,,,,,,,,,,,
random_forest_5,0.906832298136646,0.9083898815838629,0.906832298136646,0.9063144702593272,0.9751607960257274,339,245,42,18,0.855072463768116,0.855422288855572,0.855072463768116,0.8545150501672242,0.8979202037351443,68,50,12,8,0.7898550724637681,0.796702657614096,0.7898550724637681,0.7858277249581598,0.8853989813242785,68,41,21,8,,,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,log_loss,300.0,7.0,5.0,5.0,sqrt,log_loss,,,,,,,,,,,,,,
random_forest_6,0.9332298136645962,0.9336523368814704,0.9332298136645962,0.9330531664634254,0.9868239978918397,342,259,28,15,0.8623188405797102,0.8623981294055827,0.8623188405797102,0.8619444476641978,0.8951612903225807,68,51,11,8,0.8043478260869565,0.8120594598366948,0.8043478260869565,0.8005982266851832,0.8900679117147708,69,42,20,7,,,,,,,,,,,,,,,300.0,7.0,5.0,2.0,sqrt,,300.0,7.0,5.0,2.0,sqrt,,,,,,,,,,,,,,,
random_forest_7,0.8804347826086957,0.8817651868082984,0.8804347826086957,0.8797348573138323,0.9594276735084277,331,236,51,26,0.8623188405797102,0.8632369974856626,0.8623188405797102,0.8616187543973558,0.9000424448217317,69,50,12,7,0.8043478260869565,0.8120594598366948,0.8043478260869565,0.8005982266851832,0.8856112054329371,69,42,20,7,,,,,,,,,,,,,,,300.0,7.0,5.0,8.0,sqrt,,300.0,7.0,5.0,8.0,sqrt,,,,,,,,,,,,,,,
random_forest_8,0.9083850931677019,0.9098034116912835,0.9083850931677019,0.9079025259205005,0.9740091158414586,339,246,41,18,0.855072463768116,0.8549424005945745,0.855072463768116,0.8548256210408741,0.9034380305602716,67,51,11,9,0.7971014492753623,0.8029512516469038,0.7971014492753623,0.793655001767409,0.8820033955857386,68,42,20,8,,,,,,,,,,,,,,,200.0,7.0,5.0,5.0,sqrt,,200.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
random_forest_9,0.9083850931677019,0.9101344001473545,0.9083850931677019,0.9078487867729363,0.9749460759913722,340,245,42,17,0.8623188405797102,0.8623981294055827,0.8623188405797102,0.8619444476641978,0.9015280135823429,68,51,11,8,0.7971014492753623,0.8029512516469038,0.7971014492753623,0.793655001767409,0.8928268251273345,68,42,20,8,,,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
random_forest_10,0.90527950310559,0.9061063208471978,0.90527950310559,0.9048857802579849,0.9730721556915449,336,247,40,21,0.8695652173913043,0.8700524737631183,0.8695652173913043,0.8690635451505015,0.8970713073005093,69,51,11,7,0.8043478260869565,0.8092522366267847,0.8043478260869565,0.8014266931358687,0.8809422750424448,68,43,19,8,,,,,,,,,,,,,,,300.0,7.0,5.0,5.0,log2,,300.0,7.0,5.0,5.0,log2,,,,,,,,,,,,,,,
lightgbm_1,0.8509316770186336,0.8508434098447039,0.8509316770186336,0.85087926404419,0.9170009467201516,310,238,49,47,0.8260869565217391,0.8300876872488125,0.8260869565217391,0.826526778760251,0.902376910016978,61,53,9,15,0.8188405797101449,0.8186400256211736,0.8188405797101449,0.8183479574528918,0.8792444821731749,65,48,14,11,,,,,balanced,0.0,,,,,balanced,0.0,,,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_2,0.8509316770186336,0.8508434098447039,0.8509316770186336,0.85087926404419,0.9170009467201516,310,238,49,47,0.8260869565217391,0.8300876872488125,0.8260869565217391,0.826526778760251,0.902376910016978,61,53,9,15,0.8188405797101449,0.8186400256211736,0.8188405797101449,0.8183479574528918,0.8792444821731749,65,48,14,11,,,,,balanced,0.0,,,,,balanced,0.0,,,300.0,4.0,,,,,300.0,4.0,,,,,7.0,100.0,0.8,0.8,0.05,5.0,5.0,7.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_3,0.8509316770186336,0.8508434098447039,0.8509316770186336,0.85087926404419,0.9170009467201516,310,238,49,47,0.8260869565217391,0.8300876872488125,0.8260869565217391,0.826526778760251,0.902376910016978,61,53,9,15,0.8188405797101449,0.8186400256211736,0.8188405797101449,0.8183479574528918,0.8792444821731749,65,48,14,11,,,,,balanced,0.0,,,,,balanced,0.0,,,300.0,4.0,,,,,300.0,4.0,,,,,31.0,100.0,0.8,0.8,0.05,5.0,5.0,31.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_4,0.8540372670807453,0.8540372670807453,0.8540372670807453,0.8540372670807453,0.9189627070340332,310,240,47,47,0.8333333333333334,0.836311400742765,0.8333333333333334,0.8337288403733587,0.9019524617996605,62,53,9,14,0.8260869565217391,0.8261619190404798,0.8260869565217391,0.825418060200669,0.8777589134125636,66,48,14,10,,,,,balanced,0.0,,,,,balanced,0.0,,,300.0,6.0,,,,,300.0,6.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_5,0.8183229813664596,0.818039297658863,0.8183229813664596,0.8180834455633949,0.8899803823968612,302,225,62,55,0.8260869565217391,0.8300876872488125,0.8260869565217391,0.826526778760251,0.8928268251273345,61,53,9,15,0.8188405797101449,0.8186400256211736,0.8188405797101449,0.8183479574528918,0.8701188455008488,65,48,14,11,,,,,balanced,0.0,,,,,balanced,0.0,,,100.0,4.0,,,,,100.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_6,0.8043478260869565,0.8043144928257732,0.8043478260869565,0.8033731096408318,0.8812305409968866,305,213,74,52,0.8333333333333334,0.8336507936507936,0.8333333333333334,0.8334481236203091,0.8862478777589133,64,51,11,12,0.7971014492753623,0.7975748623945869,0.7971014492753623,0.795795515672758,0.8707555178268251,65,45,17,11,,,,,balanced,0.0,,,,,balanced,0.0,,,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.01,5.0,5.0,15.0,100.0,0.8,0.8,0.01,5.0,5.0
lightgbm_7,0.8555900621118012,0.8554730557256583,0.8555900621118012,0.8555128143451596,0.9207683073229291,312,239,48,45,0.8333333333333334,0.836311400742765,0.8333333333333334,0.8337288403733587,0.9025891341256367,62,53,9,14,0.8188405797101449,0.8186400256211736,0.8188405797101449,0.8183479574528918,0.8807300509337861,65,48,14,11,,,,,balanced,0.0,,,,,balanced,0.0,,,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.1,5.0,5.0,15.0,100.0,0.8,0.8,0.1,5.0,5.0
lightgbm_8,0.843167701863354,0.8433581937844636,0.843167701863354,0.843244541649935,0.9162201465952234,305,238,49,52,0.8333333333333334,0.836311400742765,0.8333333333333334,0.8337288403733587,0.9036502546689303,62,53,9,14,0.8260869565217391,0.8261619190404798,0.8260869565217391,0.825418060200669,0.8817911714770799,66,48,14,10,,,,,balanced,0.0,,,,,balanced,0.0,,,300.0,3.0,,,,,300.0,3.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_9,0.8524844720496895,0.8524374884285013,0.8524844720496895,0.8524589076603644,0.9191383870621419,310,239,48,47,0.8260869565217391,0.8300876872488125,0.8260869565217391,0.826526778760251,0.9032258064516129,61,53,9,15,0.8188405797101449,0.8186400256211736,0.8188405797101449,0.8183479574528918,0.8796689303904924,65,48,14,11,,,,,balanced,0.0,,,,,balanced,0.0,,,500.0,4.0,,,,,500.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_10,0.8493788819875776,0.8494337071866689,0.8493788819875776,0.8494042319653637,0.9154393464702955,308,239,48,49,0.8405797101449275,0.8426657883179622,0.8405797101449275,0.8409163239326283,0.9047113752122241,63,53,9,13,0.8260869565217391,0.8261619190404798,0.8260869565217391,0.825418060200669,0.8773344651952462,66,48,14,10,,,,,balanced,0.0,,,,,balanced,0.0,,,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,10.0,15.0,100.0,0.8,0.8,0.05,5.0,10.0
